109,Alaska Central Express,(Unknown),KO,AER,ACE AIR,United States,Y
110,ACES Colombia,(Unknown),"",AES,ACES,Colombia,Y
111,Aeronautical Radio of Thailand,(Unknown),"",AET,AEROTHAI,Thailand,N
112,Astraeus,(Unknown),5W,AEU,FLYSTAR,United Kingdom,Y
113,Aeroventas,(Unknown),"",AEV,AEROVENTAS,Mexico,N
114,Aerosvit Airlines,(Unknown),VV,AEW,AEROSVIT,Ukraine,Y
115,Airway Express,(Unknown),"",AEX,AVCO,United States,N
116,Air Italy,(Unknown),I9,AEY,AIR ITALY,Italy,Y
117,Aerial Transit Company,(Unknown),"",AEZ,AERIAL TRANZ,United States,N
118,Alfa Air,(Unknown),"",AFA,BLUE ALFA,Czech Republic,N
119,American Falcon,(Unknown),WK,AFB,AMERICAN FALCON,Argentina,N
120,Alliance Airlines,(Unknown),QQ,UTY,UNITY,Australia,Y
121,Air Universal,(Unknown),"",UVS,UNI-LEONE,Sierra Leone,N
122,Auvia Air,(Unknown),"",UVT,AUVIA,Indonesia,N
123,African West Air,(Unknown),"",AFC,AFRICAN WEST,Senegal,N
124,Airfast Indonesia,(Unknown),"",AFE,AIRFAST,Indonesia,N
125,Ariana Afghan Airlines,(Unknown),FG,AFG,ARIANA,Afghanistan,Y
126,Air Fecteau,(Unknown),"",AFH,FECTO,Canada,N
127,Africaone,(Unknown),"",AFI,AFRICAWORLD,Uganda,N
128,Alliance,(Unknown),"",AFJ,JAMBO,Uganda,N
129,Africa Air Links,(Unknown),"",AFK,AFRICA LINKS,Sierra Leone,N
130,Aeroflot Russian Airlines,(Unknown),SU,AFL,AEROFLOT,Russia,Y
131,Aero Empresa Mexicana,(Unknown),"",AFO,AERO EMPRESA,Mexico,N
132,Air Bosna,(Unknown),JA,BON,AIR BOSNA,Bosnia and Herzegovina,Y
133,Air Bravo,(Unknown),"",BRF,AIR BRAVO,Uganda,N
134,Air Brasd'or,(Unknown),"",BRL,BRASD'OR,Canada,N
135,Air 500,(Unknown),"",BRM,BOOMERANG,Canada,N
136,Alba Servizi Aerotrasporti,(Unknown),"",AFQ,ALBA,Italy,N
137,Air France,(Unknown),AF,AFR,AIRFRANS,France,Y
138,Air Partner,(Unknown),"",ACG,AIR PARTNER,United Kingdom,N
139,Air Caledonie International,(Unknown),SB,ACI,AIRCALIN,France,Y
140,Air Caledonia,(Unknown),"",ACM,WEST CAL,Canada,N
141,Air Guam,(Unknown),"",AGM,AIR GUAM,United States,N
142,Air Gabon,(Unknown),GN,AGN,GOLF NOVEMBER,Gabon,N
143,Air Data,(Unknown),"",AFS,"",United Kingdom,N
144,Air Afrique Vacancies,(Unknown),"",AFV,AFRIQUE VACANCE,Ivory Coast,N
145,Air Cargo America,(Unknown),"",MVM,PEGASUS,United States,N
146,Air Salone,(Unknown),2O,"","",Sierra Leone,Y
147,Air-Angol,(Unknown),"",NGO,AIR ANGOL,Angola,N
148,Air Nigeria,(Unknown),"",NGP,REGAL EAGLE,Nigeria,N
149,Air Cargo Carriers,(Unknown),2Q,SNC,NIGHT CARGO,United States,Y
150,Air Samarkand,(Unknown),"",SND,ARSAM,Uzbekistan,N
151,Air Senegal International,(Unknown),V7,SNG,AIR SENEGAL,Senegal,N
152,Air Sandy,(Unknown),"",SNY,AIR SANDY,Canada,N
153,Air Namibia,(Unknown),SW,NMB,NAMIBIA,Namibia,Y
154,Air Intersalonika,(Unknown),"",NSK,INTERSALONIKA,Greece,N
155,Air Anatolia,(Unknown),"",NTL,AIR ANATOLIA,Turkey,N
156,Air Saigon,(Unknown),"",SGA,AIR SAIGON,Vietnam,N
157,Afrique Regional Airways,(Unknown),"",AFW,AFRAIR,Ivory Coast,N
158,Airfreight Express,(Unknown),"",AFX,"",United Kingdom,N
159,Africa Chartered Services,(Unknown),"",AFY,AFRICA CHARTERED,Nigeria,N
160,Africa Freight Services,(Unknown),"",AFZ,AFREIGHT,Zambia,N
161,Aeronaves Del Centro,(Unknown),"",AGA,"",Venezuela,N
162,Air Service Gabon,(Unknown),G8,AGB,"",Gabon,N
163,Arab Agricultural Aviation Company,(Unknown),"",AGC,AGRICO,Egypt,N
164,Atlantic Gulf Airlines,(Unknown),"",AGF,ATLANTIC GULF,United States,N
165,Aerolitoral,(Unknown),5D,SLI,COSTERA,Mexico,Y
166,Algoma Airways,(Unknown),"",AGG,ALGOMA,Canada,N
167,Altagna,(Unknown),"",AGH,ALTAGNA,France,N
168,Angola Air Charter,(Unknown),"",AGO,ANGOLA CHARTER,Angola,N
169,Angola Air Charter,(Unknown),"",AGO,ANGOLA CHARTER,Angola,N
170,AERFI Group,(Unknown),"",AGP,AIR TARA,Ireland,N
171,Aerogala,(Unknown),"",AGQ,GALASERVICE,Chile,N
172,Amadeus Global Travel Distribution,(Unknown),1A,AGT,AMADEUS,Spain,N
173,Angara Airlines,(Unknown),"",AGU,SARMA,Russia,N
174,Air Glaciers,(Unknown),7T,AGV,AIR GLACIERS,Switzerland,Y
175,Aero Gambia,(Unknown),"",AGW,AERO GAMBIA,Gambia,N
176,Aviogenex,(Unknown),"",AGX,GENEX,Serbia,Y
177,Atlantic Coast Airlines,(Unknown),"",BLR,BLUE RIDGE,United States,N
178,Aero Barloz,(Unknown),"",BLZ,AEROLOZ,Mexico,N
179,Aeroper,(Unknown),PL,PLI,Aeroperu,Peru,Y
180,Atlas Blue,(Unknown),8A,BMM,ATLAS BLUE,Morocco,Y
181,Aero Banobras,(Unknown),"",BNB,AEROBANOBRAS,Mexico,N
182,Aero Flight Service,(Unknown),"",AGY,FLIGHT GROUP,United States,N
183,Agrolet-Mci,(Unknown),"",AGZ,AGROLET,Slovakia,N
184,Air Alpha Greenland,(Unknown),GD,AHA,AIR ALPHA,Denmark,N
185,Azal Avia Cargo,(Unknown),"",AHC,AZALAVIACARGO,Azerbaijan,N
186,Airport Helicopter Basel,(Unknown),"",AHE,Muller & Co.,AIRPORT HELICOPTER,N
187,Aeroservices Corporate,(Unknown),"",CJE,BIRD JET,France,N
188,Aspen Helicopters,(Unknown),"",AHF,ASPEN,United States,N
189,Aerochago Airlines,(Unknown),"",AHG,AEROCHAGO,Dominican Republic,N
190,Airplanes Holdings,(Unknown),"",AHH,AIRHOLD,Ireland,N
191,Air Hong Kong,(Unknown),LD,AHK,AIR HONG KONG,Hong Kong,N
192,Aerochiapas,(Unknown),"",AHP,AEROCHIAPAS,Mexico,N
193,Air Adriatic,(Unknown),"",AHR,ADRIATIC,Croatia,N
194,Air Viggi San Raffaele,(Unknown),"",AHS,AIRSAR,Italy,N
195,ABC Air Hungary,(Unknown),"",AHU,ABC HUNGARY,Hungary,N
196,Aeromist-Kharkiv,(Unknown),HT,AHW,AEROMIST,Ukraine,N
197,Azerbaijan Airlines,(Unknown),J2,AHY,AZAL,Azerbaijan,Y
198,Avies,(Unknown),U3,AIA,AVIES,Estonia,Y
199,Airbus Industrie,(Unknown),AP,AIB,AIRBUS INDUSTRIE,France,N
200,Alpine Air Chile,(Unknown),"",AIH,ALPINE CHILE,Chile,N
201,Air Integra,(Unknown),"",AII,INTEGRA,Canada,N
202,ABC Aerolineas,(Unknown),"",AIJ,ABC AEROLINEAS,Mexico,N
203,African Airlines International Limited,(Unknown),"",AIK,AFRICAN AIRLINES,Kenya,N
204,African International Airways,(Unknown),"",AIN,FLY CARGO,Swaziland,N
205,Alpine Air Express,(Unknown),5A,AIP,ALPINE AIR,United States,N
206,Alicante Internacional Airlines,(Unknown),"",AIU,ALIA,Spain,N
207,Aba Air,(Unknown),"",ABP,BAIR,Czech Republic,N
208,Airblue,(Unknown),ED,ABQ,PAKBLUE,Pakistan,Y
209,Airmark Aviation,(Unknown),"",THM,THAI AIRMARK,Thailand,N
210,Airlift International,(Unknown),"",AIR,AIRLIFT,United States,Y
211,Airest,(Unknown),"",AIT,"",Estonia,N
212,Air Baffin,(Unknown),"",BFF,AIR BAFFIN,Canada,N
213,Air Bandama,(Unknown),"",BDM,BANDAMA,Ivory Coast,N
214,Air Berlin,(Unknown),AB,BER,AIR BERLIN,Germany,Y
215,Air Brousse,(Unknown),"",ABT,AIR BROUSSE,Canada,N
216,Air Contractors,(Unknown),AG,ABR,CONTRACT,Ireland,N
217,Air Illinois,(Unknown),"",AIL,AIR ILLINOIS,United States,N
218,Air India Limited,(Unknown),AI,AIC,AIRINDIA,India,Y
219,Air Inter Gabon,(Unknown),"",AIG,"",Gabon,N
220,Air Bourbon,(Unknown),ZB,BUB,BOURBON,Reunion,Y
221,Air Atlanta Icelandic,(Unknown),CC,ABD,ATLANTA,Iceland,Y
222,Air Inuit,(Unknown),"",AIE,AIR INUIT,Canada,N
223,Air Sureste,(Unknown),"",AIS,SURESTE,Spain,N
224,Air Srpska,(Unknown),RB,SBK,Air Srpska,Bosnia and Herzegovina,N
225,Air Tahiti Nui,(Unknown),TN,THT,TAHITI AIRLINES,France,Y
226,Airvias S/A Linhas Aereas,(Unknown),"",AIV,AIRVIAS,Brazil,N
227,Aero Services Executive,(Unknown),W4,BES,BIRD EXPRESS,France,N
228,Atlantic Island Airways,(Unknown),"",AIW,TARTAN,Canada,N
229,Aircruising Australia,(Unknown),"",AIX,CRUISER,Australia,N
230,Aircrew Check and Training Australia,(Unknown),"",AIY,AIRCREW,Australia,N
231,Arkia Israel Airlines,(Unknown),IZ,AIZ,ARKIA,Israel,Y
232,A J Services,(Unknown),"",AJA,AYJAY SERVICES,United Kingdom,N
233,Aero JBR,(Unknown),"",AJB,AERO JBR,Mexico,N
234,Aero Jet Express,(Unknown),"",AJE,JET EXPRESS,Mexico,N
235,Avia Consult Flugbetriebs,(Unknown),"",AJF,AVIACONSULT,Austria,N
236,Ameristar Jet Charter,(Unknown),"",AJI,AMERISTAR,United States,N
237,A2 Jet Leasing,(Unknown),"",AJJ,ATLANTIC JET,United States,N
238,Allied Air,(Unknown),"",AJK,BAMBI,Nigeria,N
239,Air Jamaica,(Unknown),JM,AJM,JAMAICA,Jamaica,Y
240,Air One,(Unknown),AP,ADH,HERON,Italy,Y
241,Air Sahara,(Unknown),S2,RSH,SAHARA,India,Y
242,Air Malta,(Unknown),KM,AMC,AIR MALTA,Malta,Y
243,Aeroejecutivo,(Unknown),"",AJO,AEROEXO,Mexico,N
244,Aero Jets Corporativos,(Unknown),"",AJP,AEROJETS,Mexico,N
245,Aeroejecutivos Colombia,(Unknown),"",AJS,AEROEJECUTIVOS,Colombia,N
246,Amerijet International,(Unknown),M6,AJT,AMERIJET,United States,N
247,Air Jetsul,(Unknown),"",AJU,AIRJETSUL,Portugal,N
248,ANA & JP Express,(Unknown),"",AJV,AYJAY CARGO,Japan,N
249,Alpha Jet International,(Unknown),"",AJW,ALPHAJET,United States,N
250,Air Japan,(Unknown),NQ,AJX,AIR JAPAN,Japan,Y
251,Ajet,(Unknown),"",AJY,AYJET,Cyprus,N
252,Air Korea Co. Ltd.,(Unknown),"",AKA,"",Republic of Korea,Y
253,Air Livonia,(Unknown),"",LIV,LIVONIA,Estonia,N
254,Air BC,(Unknown),"",ABL,AIRCOACH,Canada,N
255,Air Fret Senegal,(Unknown),"",ABN,"",Senegal,N
256,Air Jamahiriya Company,(Unknown),"",LJA,AIR JAMAHIRIYA,Libya,N
257,Aktjubavia,(Unknown),"",AKB,KARAB,Kazakhstan,N
258,Arca Aerovias Colombianas Ltda.,(Unknown),"",AKC,ARCA,Colombia,N
259,Anikay Air Company,(Unknown),"",AKF,ANIKAY,Kyrgyzstan,N
260,Akhal,(Unknown),"",AKH,AKHAL,Turkmenistan,N
261,Aeromilenio,(Unknown),"",MNI,AEROMIL,Mexico,N
262,Aklak Air,(Unknown),"",AKK,AKLAK,Canada,N
263,Air Kiribati,(Unknown),4A,AKL,"",Kiribati,Y
264,Alkan Air,(Unknown),"",AKN,ALKAN AIR,Canada,N
265,Angkor Airways,(Unknown),"",AKW,ANGKORWAYS,Cambodia,N
266,Air Nippon Network Co. Ltd.,(Unknown),EH,AKX,ALFA WING,Japan,N
267,AK Navigator LLC,(Unknown),"",AKZ,ABSOLUTE,Kazakhstan,N
268,Aero Albatros,(Unknown),"",ALB,ALBATROS,Mexico,N
269,Albion Aviation,(Unknown),"",ALD,ALBION,United Kingdom,N
270,Aeroalas Colombia,(Unknown),"",ALE,AEROALAS,Colombia,N
271,Allied Command Europe (Mobile Force),(Unknown),"",ALF,ACEFORCE,Belgium,N
272,Aerotaxis Albatros,(Unknown),"",BTS,AEROLINEAS ALBATROS,Mexico,N
273,American Flyers,(Unknown),"",FYS,AMERICAN FLYERS,United States,N
274,Aero Coach Aviation,(Unknown),"",DFA,AERO COACH,United States,N
275,Atlantic Southeast Airlines,(Unknown),"",CAA,Chandler,United States,N
276,ACM Air Charter,(Unknown),"",BVR,BAVARIAN,Germany,N
277,Air Logistics,(Unknown),"",ALG,AIRLOG,United States,N
278,Aerovallarta,(Unknown),"",ALL,VALLARTA,Mexico,N
279,Air ALM,(Unknown),"",ALM,ANTILLEAN,Netherlands Antilles,N
280,Air Lincoln,(Unknown),"",ALN,CHICAGO LINCOLN,United States,N
281,America West Airlines,(Unknown),HP,AWE,CACTUS,United States,Y
282,Air Wisconsin,(Unknown),ZW,AWI,AIR WISCONSIN,United States,Y
283,Aerotransporte de Carga Union,(Unknown),"",TNO,AEROUNION,Mexico,N
284,Aero Taxis Cessna,(Unknown),"",TND,TAXIS CESSNA,Mexico,N
285,Arizona Express Airlines,(Unknown),"",TMP,TEMPE,United States,N
286,Tatarstan Airlines,(Unknown),U9,TAK,TATARSTAN,Russia,Y
287,Allegheny Commuter Airlines,(Unknown),"",ALO,ALLEGHENY,United States,Y
288,Alpliner AG,(Unknown),"",ALP,ALPINER,Switzerland,N
289,Altair Aviation (1986),(Unknown),"",ALQ,ALTAIR,Canada,N
290,Air Luxor STP,(Unknown),"",ALU,LUXORJET,Sao Tome and Principe,N
291,Alas de Venezuela,(Unknown),"",ALV,ALVEN,Venezuela,N
292,Alas Nacionales,(Unknown),"",ALW,S.A.,ALNACIONAL,N
293,Alyeska Air Service,(Unknown),"",ALY,ALYESKA,United States,N
294,Alta Flights (Charters) Ltd.,(Unknown),"",ALZ,"",Canada,N
295,Air Sunshine,(Unknown),"",RSI,AIR SUNSHINE,United States,Y
296,ATMA,(Unknown),"",AMA,ADIK,Kazakhstan,N
297,Aerolineas Medellin,(Unknown),"",AMD,AEROLINEAS MEDELLIN,Colombia,N
298,Ameriflight,(Unknown),"",AMF,AMFLIGHT,United States,N
299,Air Libert,(Unknown),VD,"","",France,Y
300,Air Lithuania,(Unknown),TT,KLA,KAUNAS,Lithuania,N
301,Air Minas Linhas A,(Unknown),"",AMG,AIR MINAS,Brazil,N
302,Alan Mann Helicopters Ltd.,(Unknown),"",AMH,MANN,United Kingdom,N
303,Air Maldives,(Unknown),"",AMI,AIR MALDIVES,Maldives,N
304,Aviation Amos,(Unknown),"",AMJ,AVIATION AMOS,Canada,N
305,Amerer Air,(Unknown),"",AMK,AMER AIR,Austria,N
306,Air Malawi,(Unknown),QM,AML,MALAWI,Malawi,Y
